topic_id,topic,subfield,field,domain,works_count,keywords,description
T10120,Bacterial Genetics and Biotechnology,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,136935,Bacterial Physiology; Gene Regulation; Antibiotic Resistance; Cellular Homeostasis; Signal Transduction; Bacterial Genetics; Membrane Proteins; RNA Regulation; Iron Metabolism; Microbial Persistence,"This cluster of papers covers a wide range of topics related to bacterial physiology, genetics, and molecular mechanisms. It includes studies on gene regulation"
T10180,Analytical chemistry methods development,Analytical Chemistry,Chemistry,Physical Sciences,136830,Molecularly Imprinted Polymers; Solid-Phase Microextraction; Dispersive Liquid-Liquid Microextraction; Green Analytical Chemistry; Sample Preparation Techniques; Metal Ion-Imprinted Polymers; Carbon N,"This cluster of papers covers advances in analytical chemistry techniques, with a focus on molecularly imprinted polymers, solid-phase microextraction, dispersi"
T13763,Historical Legal Studies and Society,Political Science and International Relations,Social Sciences,Social Sciences,136796,Legal History; Social Change; Religious Influence; Nordic Welfare States; Reformation; Ethical Theory; Constitutionalism; Cultural Encounter; Family Structures; European Minorities,"This cluster of papers covers a wide range of topics related to legal and social transformations in Europe, including legal history, social change, the influenc"
T10168,COVID-19 and Mental Health,Clinical Psychology,Psychology,Social Sciences,136484,COVID-19; mental health; anxiety; depression; pandemic; quarantine; psychological impact; healthcare workers; social isolation; psychological distress,"This cluster of papers focuses on the impact of the COVID-19 pandemic on mental health, including anxiety, depression, and psychological distress among the gene"
T11817,"Housing, Finance, and Neoliberalism",Finance,"Economics, Econometrics and Finance",Social Sciences,136340,Financialization; Shareholder Value; Housing; Capital Accumulation; Neoliberalism; Global Finance; Corporate Governance; Income Inequality; Urban Redevelopment; Asset-Based Welfare,"This cluster of papers explores the extensive impact of financialization on the American economy, with a focus on shareholder value, housing, capital accumulati"
T10580,Immunotherapy and Immune Responses,Immunology,Immunology and Microbiology,Life Sciences,136223,Dendritic Cells; Immunity; Cancer Immunotherapy; Antigen Presentation; Tumor Antigen; Vaccine Adjuvants; T Cell Immunity; Cross-Presentation; Innate Immunity; Therapeutic Vaccines,"This cluster of papers focuses on the immunobiology of dendritic cells, their role in antigen presentation, modulation of immunity, and their potential applicat"
T11520,Advanced Thermodynamics and Statistical Mechanics,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences,136220,Stochastic Thermodynamics; Fluctuation Theorems; Nonequilibrium Systems; Quantum Heat Engines; Information Processing; Maximum Entropy Production; Thermodynamic Efficiency; Single-Molecule Experiments,"This cluster of papers focuses on stochastic thermodynamics, fluctuation theorems, and their applications to nonequilibrium systems, quantum heat engines, infor"
T10632,Housing Market and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,136140,Mortgage Credit Expansion; Housing Supply; House Prices; Property Values; Foreclosure; Urban Development; Real Estate Market; Hedonic Pricing; Homeownership; Residential Property,"This cluster of papers explores the consequences of mortgage credit expansion, housing supply dynamics, property values, and the impact of factors such as forec"
T14402,Political and Social Issues,Political Science and International Relations,Social Sciences,Social Sciences,136058,Tunisian Revolution; Global Development Goals; Social Movements; Territorial Dynamics; Digital Innovation; Democratic Transition; Rural Development; Media and Communication; Political Economy; Social ,"This cluster of papers explores the Tunisian Revolution, its impact on global development goals, democratic transition, rural and territorial dynamics, digital "
T11667,Advanced Chemical Sensor Technologies,Biomedical Engineering,Engineering,Physical Sciences,135880,Breath Analysis; Electronic Nose; Volatile Organic Compounds; Disease Diagnosis; Sensor Array; Exhaled Breath; Lung Cancer; Diagnostic Potential; Colorimetric Sensor; Machine Olfaction,"This cluster of papers focuses on the advances in breath analysis technology, particularly the use of electronic nose and sensor arrays to detect volatile organ"
T10349,Migration and Labor Dynamics,Sociology and Political Science,Social Sciences,Social Sciences,135804,Immigration; Remittances; Labor Market; Network Effects; Transnational Families; Human Capital; Gender and Migration; Social Networks; Brain Drain; Globalization,"This cluster of papers explores the complex dynamics of migration networks, including the impacts of immigration on labor markets, the role of remittances in de"
T10312,"Health, Nursing, Elderly Care",General Health Professions,Health Professions,Health Sciences,135725,Brazilian Health System; Primary Care; Chronic Diseases; Quality of Life; Community-Based Care; Aging Population; Health Policy; Social Determinants of Health; Public Health; Healthcare Access,"This cluster of papers explores the evolution, challenges, and innovations in the healthcare system in Brazil. It covers topics such as the Brazilian health sys"
T11212,Cultural Heritage Materials Analysis,Archeology,Arts and Humanities,Social Sciences,135637,Raman Spectroscopy; X-Ray Fluorescence; Hyperspectral Imaging; Archaeological Science; Surface-Enhanced Raman Spectroscopy; Pigment Analysis; Cultural Heritage; Synchrotron Radiation; Proteomic Analys,"This cluster of papers covers a wide range of analytical techniques and scientific methods used in the conservation and analysis of art, archaeological artifact"
T12447,Spider Taxonomy and Behavior Studies,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,135618,Spider Phylogenomics; DNA Barcoding; Molecular Phylogeny; Taxonomic Revision; Species Delimitation; Araneae Diversity; Evolutionary Morphology; Biogeography; Cryptic Diversity; Ancient Vicariance Patt,"This cluster of papers focuses on the phylogenetic analysis, evolutionary history, and taxonomic revision of spiders, utilizing molecular techniques such as DNA"
T10663,Advanced Battery Technologies Research,Automotive Engineering,Engineering,Physical Sciences,135530,Lithium-ion Batteries; Battery Management Systems; Thermal Runaway; State of Charge Estimation; Aging Mechanisms; Electric Vehicles; Safety Concerns; Cycle Life Modeling; Thermal Management; Prognosti,"This cluster of papers focuses on the management, safety, and performance of lithium-ion batteries in electric vehicles. It covers topics such as aging mechanis"
T10257,Oral microbiology and periodontitis research,Periodontics,Dentistry,Health Sciences,135487,Periodontal Diseases; Oral Microbiome; Bacterial Diversity; Gingival Plaque; Systemic Inflammation; Dental Caries; Microbial Ecology; Host Interactions; Diabetes Mellitus; Inflammatory Pathways,"This cluster of papers focuses on the study of periodontal diseases, oral microbiome, bacterial diversity in gingival plaque, and their systemic impact. It expl"
T13238,Botanical Studies and Applications,Plant Science,Agricultural and Biological Sciences,Life Sciences,135313,Hawthorn; Antioxidant; Polyphenolic Extracts; Cardiovascular Disease; Pharmacology; Flavonoid Contents; Heart Failure; Phylogenetic Analysis; Herbal Medicine; Atherosclerosis,"This cluster of papers focuses on the effects of hawthorn, particularly its antioxidant properties and its potential roles in cardiovascular disease and heart f"
T10132,Advanced ceramic materials synthesis,Ceramics and Composites,Materials Science,Physical Sciences,135160,Ceramic Materials; Sintering; Spark Plasma Sintering; High-Temperature Applications; Composite Materials; Nanocrystalline Ceramics; Oxidation Resistance; Porous Ceramics; Ultra-High Temperature Cerami,"This cluster of papers covers advancements in ceramic materials and processing techniques, with a focus on topics such as spark plasma sintering, high-temperatu"
T13360,Economic and Social Issues,Sociology and Political Science,Social Sciences,Social Sciences,135144,Imperialism; Global Capitalism; Critique; Social Inequality; Post-Growth Economy; Environmental Sustainability; Political Power; Neoliberalism; Class Struggle; Democratic Crisis,"This cluster of papers critically examines the imperialist nature of global capitalism, addressing issues such as social inequality, post-growth economy, enviro"
T10269,Epigenetics and DNA Methylation,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,134903,DNA Methylation; Histone Modification; Epigenetic Reprogramming; Cancer Epigenetics; Transgenerational Inheritance; Chromatin Structure; TET Proteins; Polycomb Complexes; Environmental Epigenomics; Ep,"This cluster of papers explores the diverse mechanisms and functional implications of epigenetic modifications, including DNA methylation, histone modification,"
T10227,Acute Ischemic Stroke Management,Epidemiology,Medicine,Health Sciences,134860,Ischemic Stroke; Thrombolysis; Endovascular Therapy; Risk Factors; Prevention Guidelines; Clinical Outcomes; Neuroprotection; Infarction Treatment; Revascularization; Global Burden,"This cluster of papers focuses on the epidemiology, management, and treatment of stroke, with an emphasis on ischemic stroke. It covers topics such as thromboly"
T11430,Disaster Response and Management,Emergency Medical Services,Health Professions,Health Sciences,134760,Disaster Response; Public Health; Triage; Emergency Preparedness; Mass Casualties; Ethical Considerations; Infectious Diseases; Hospital Preparedness; Resource Allocation; Healthcare Workers,"This cluster of papers focuses on disaster response, public health preparedness, and the ethical considerations surrounding resource allocation, triage, and hea"
T13714,Medieval Architecture and Archaeology,Archeology,Arts and Humanities,Social Sciences,134603,Rural Landscapes; Medieval Architecture; Iberian Peninsula; Early Medieval Churches; Archaeology of Agriculture; Social Organization; Historical Landscape Formation; Hydraulic Systems; Peasant Village,"This cluster of papers explores the spatial, socio-economic, and political configurations of rural landscapes in medieval Iberia, focusing on topics such as ear"
T13861,Health and Lifestyle Studies,General Health Professions,Health Professions,Health Sciences,134462,Healthy Lifestyles; University Students; Nutrition; Physical Activity; Obesity; Chronic Diseases; Health Promotion; Risk Factors; Mental Health; Educational Interventions,"This cluster of papers focuses on promoting healthy lifestyles, including nutrition, physical activity, and mental health, among university students. It address"
T13407,Regional Development and Management Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,134212,Sustainable Development; Economic Growth; Rural Tourism; Agricultural Sustainability; Small and Medium Enterprises; Regional Development; Organizational Culture; Leadership Emergence; Financial Perfor,"This cluster of papers explores the intersection of sustainable development, economic growth, and rural tourism in Serbia. It covers topics such as agricultural"
T10496,Pharmaceutical Practices and Patient Outcomes,Geriatrics and Gerontology,Medicine,Health Sciences,134173,Polypharmacy; Inappropriate Medication Use; Elderly; Adverse Drug Events; Potentially Inappropriate Prescribing; Pharmacist Intervention; Medication Reconciliation; Deprescribing; Anticholinergic Burd,"This cluster of papers focuses on the challenges and consequences of polypharmacy, inappropriate medication use, and adverse drug events in the elderly populati"
T12045,Rice Cultivation and Yield Improvement,Plant Science,Agricultural and Biological Sciences,Life Sciences,133927,Rice; Water Management; Drought Resistance; Yield Potential; Aerobic Rice Systems; QTL Mapping; Root Traits; Grain Yield; System of Rice Intensification (SRI); Nitrogen Use Efficiency,"This cluster of papers focuses on the management of water in rice cultivation to enhance productivity, with an emphasis on strategies for drought resistance, yi"
T11733,X-ray Spectroscopy and Fluorescence Analysis,Radiation,Physics and Astronomy,Physical Sciences,133889,X-ray Absorption; Spectroscopy; X-ray Emission; High Resolution; Theoretical Calculations; Transition Metals; Core Excitation; Multiple Scattering; Resonant Inelastic Scattering; Quantitative Analysis,"This cluster of papers covers advancements in X-ray absorption spectroscopy, including theoretical calculations, high-resolution techniques, and applications to"
T13711,Environmental Science and Technology,Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences,133860,Microbial Metabolites; Human Microbiome; Sepsis; Aromatic Compounds; Renewable Resources; Biomass Combustion; Sustainable Development; Gas Chromatography-Mass Spectrometry; Mitochondrial Function; Cel,"This cluster of papers explores the role of microbial metabolites, particularly aromatic compounds, in human health, with a focus on conditions such as sepsis. "
T10185,Lymphoma Diagnosis and Treatment,Pathology and Forensic Medicine,Medicine,Health Sciences,133820,Lymphoma; Classification; Molecular Profiling; Rituximab; Genetic Pathogenesis; PET Imaging; Hodgkin's Lymphoma; B-Cell Receptor Signaling; Mantle Cell Lymphoma; Gene Expression Profiling,"This cluster of papers focuses on the classification, molecular profiling, genetic pathogenesis, and treatment strategies for various types of lymphoid neoplasm"
T14002,"Art, Technology, and Culture",Visual Arts and Performing Arts,Arts and Humanities,Social Sciences,133820,Art; Technology; Interdisciplinary Collaboration; Digital Media; Innovation; Education; Mathematics; Science; Interactive Art; Cultural Heritage,"This cluster of papers explores the intersection of art and technology in modern society, covering topics such as interdisciplinary collaboration, digital media"
T10101,Cloud Computing and Resource Management,Information Systems,Computer Science,Physical Sciences,133712,Cloud Computing; Big Data; MapReduce; Virtualization; Data Centers; Resource Management; Hadoop; Distributed Systems; Energy Efficiency; Scalability,"This cluster of papers covers a wide range of topics related to cloud computing, big data technologies, and data center management. It includes discussions on M"
T10098,Ruminant Nutrition and Digestive Physiology,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,133471,Ruminant Nutrition; Methane Production; Microbial Community; Dietary Tannins; Rumen Fermentation; Milk Composition; Feed Efficiency; Subacute Ruminal Acidosis; Fatty Acid Composition; Forage Quality,"This cluster of papers explores various aspects of ruminant nutrition, with a focus on strategies to optimize health, production, and environmental impact. Topi"
T11595,Textile materials and evaluations,Polymers and Plastics,Materials Science,Physical Sciences,133401,Moisture Management; Thermal Properties; Fabric Comfort; Textile Engineering; Wicking Mechanisms; Fiber Properties; Artificial Intelligence; Knitted Fabrics; Heat Transfer; Fabric Testing,"This cluster of papers focuses on the science of clothing comfort and textile properties, including moisture management, thermal properties, wicking mechanisms,"
T10839,Pancreatic function and diabetes,Surgery,Medicine,Health Sciences,133333,Pancreatic Islets; ß-Cell Dysfunction; Insulin Secretion; Diabetes Mellitus; Islet Transplantation; Glucose Homeostasis; Stem Cell Differentiation; Oxidative Stress; Pancreas Development; Endocrine Ce,"This cluster of papers focuses on the dysfunction and regeneration of pancreatic islets, particularly related to ß-cell deficit, insulin secretion, diabetes mel"
T14239,"Business, Education, Mathematics Research",Accounting,"Business, Management and Accounting",Social Sciences,133333,Financial Analysis; Productivity Indicators; Economic Impact Evaluation; Management Strategies; Organizational Performance; Financial Reporting; Small and Medium Enterprises (SMEs); Decision Making; C,"This cluster of papers focuses on financial analysis, productivity indicators, economic impact evaluation, management strategies, organizational performance, fi"
T10144,Blood Pressure and Hypertension Studies,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences,133317,Hypertension; Blood Pressure; Cardiovascular Disease; Antihypertensive Drugs; Renal Denervation; Diabetes Mellitus; Global Burden; Clinical Guidelines; Cardiovascular Events; Risk Factors,"This cluster of papers focuses on the management of hypertension, including the use of antihypertensive drugs, cardiovascular risk factors, renal denervation, a"
T13443,Mineralogy and Gemology Studies,Geochemistry and Petrology,Earth and Planetary Sciences,Physical Sciences,133150,Gemstones; Geochemistry; Petrology; Raman Spectroscopy; Nanoinclusions; Water Molecules; Opals; Beryl; Sapphires; Jade,"This cluster of papers explores the geochemistry and petrology of various gemstones, including the use of Raman spectroscopy, identification of nanoinclusions, "
T10111,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,132852,Remote Sensing; Vegetation Monitoring; Phenology; MODIS; Landsat; NDVI; Global Change; Climate; Biomass Estimation; Machine Learning,"This cluster of papers focuses on the use of remote sensing technology, particularly MODIS and Landsat data, for monitoring vegetation dynamics, phenology, and "
T10557,Social Media and Politics,Communication,Social Sciences,Social Sciences,132700,Social Media; Digital Divide; Political Participation; Deliberative Democracy; Online Communication; Media Use; Information Technology; Civic Engagement; Networked Individualism; Internet Access,"This cluster of papers explores the impact of digital media, particularly social media, on public discourse, political participation, and the concept of deliber"
T13075,Legal Systems and Judicial Processes,Political Science and International Relations,Social Sciences,Social Sciences,132672,Transnational Law; Policy Dimensions; International Justice; Legal Profession; Human Rights; Corporate Governance; Constitutional Law; Criminal Justice; Intellectual Property; Environmental Law,"This cluster of papers covers a wide range of legal and policy topics, including transnational law, international justice, corporate governance, human rights, c"
T12307,Ancient Near East History,Archeology,Arts and Humanities,Social Sciences,132618,Mesopotamia; Babylonian; Assyrian; Sumerian; Hittite; Akkadian; Near East; Ancient Law; Scribal Traditions; Cuneiform Writing,"This cluster of papers covers a wide range of topics related to the ancient Near East, including Mesopotamian, Babylonian, Assyrian, Sumerian, and Hittite civil"
T10421,Pleistocene-Era Hominins and Archaeology,Anthropology,Social Sciences,Social Sciences,132529,Hominin Genetics; Paleolithic Archaeology; Modern Human Origins; Neanderthal Genome; Early Hominid Fossils; Pleistocene Extinctions; Stone Tool Technology; Ancient Human Behavior; Cultural Innovation;,"This cluster of papers explores the genetic, archaeological, and paleontological evidence related to human evolution, including the origins of modern humans, Ne"
T11636,Artificial Intelligence in Healthcare and Education,Health Informatics,Medicine,Health Sciences,132333,Artificial Intelligence; Machine Learning; Healthcare; Medical Imaging; Clinical Decision Support; Ethical Challenges; Big Data; Precision Medicine; Radiology; Health Equity,"This cluster of papers explores the intersection of artificial intelligence and medicine, focusing on applications in healthcare, medical imaging, clinical deci"
T10010,"Obesity, Physical Activity, Diet","Public Health, Environmental and Occupational Health",Medicine,Health Sciences,132327,Obesity; Overweight; Childhood; Prevalence; Health Effects; Physical Activity; Dietary Risks; Epidemiology; Public Health; Adolescents,"This cluster of papers covers a wide range of topics related to obesity and overweight, including global prevalence, health effects, childhood obesity, physical"
T13500,Probability and Statistical Research,Statistics and Probability,Mathematics,Physical Sciences,132156,Probability Theory; Statistical Modeling; Survival Models; Data Mining; Clinical Data; Random Variables; Confidence Intervals; Nonparametric Statistics; Gambler's Ruin Problem; Markov Analysis,"This cluster of papers covers a wide range of topics related to probability theory, statistical modeling, and data analysis. It includes discussions on survival"
T11880,Forest ecology and management,Nature and Landscape Conservation,Environmental Science,Physical Sciences,132117,Allometric Models; Biomass Estimation; Carbon Stocks; Tropical Forests; Tree Allometry; Forest Site Productivity; Aboveground Biomass; Tree Height-Diameter Models; Stand Density; Climate Change Impact,This cluster of papers focuses on the development and improvement of allometric models for estimating biomass and carbon stocks in tropical forests. It also add
T12184,Linguistics and Education Research,Literature and Literary Theory,Arts and Humanities,Social Sciences,132056,Discourse Analysis; Literacy; Textual Production; Bakhtin Circle; Critical Reading; Multiliteracies; Language Education; Social Discourse; Rhetoric; Educational Practices,"This cluster of papers covers a wide range of topics related to discourse analysis, literacy studies, and language education. It includes discussions on textual"
T10466,Meteorological Phenomena and Simulations,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences,132005,Ensemble Kalman Filter; Data Assimilation; Convective Parameterization; Mesoscale Modeling; Probabilistic Forecasting; Microphysics Scheme; Boundary Layer; Radiative Transfer Model; Hydrological Model,"This cluster of papers focuses on advancements in numerical weather prediction models, including topics such as ensemble Kalman filtering, data assimilation, co"
T12564,Sensor Technology and Measurement Systems,Computer Networks and Communications,Computer Science,Physical Sciences,131970,IEEE 1451; Smart Sensors; Transducer Interface Standards; Resolver-to-Digital Conversion; Capacitive Sensors; Neural Networks; Sensor Networking; Microcontroller Interfaces; Absolute Encoders; Artific,"This cluster of papers focuses on the IEEE 1451 standard and its application in networked smart transducer interface, covering topics such as smart sensors, res"
T10068,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,131880,Technology Acceptance Model; Information Systems; Online Shopping; Partial Least Squares; Consumer Trust; E-commerce; User Satisfaction; Mobile Banking; Structural Equation Modeling; Perceived Ease of,"This cluster of papers explores the acceptance and adoption of information technology, focusing on the Technology Acceptance Model, user satisfaction, consumer "
T10661,biodegradable polymer synthesis and properties,Biomaterials,Materials Science,Physical Sciences,131806,Biodegradable Polymers; Polylactic Acid; Polyhydroxyalkanoates; Sustainable Polymers; Tissue Engineering Materials; Ring-Opening Polymerization; Biomedical Applications; Nanocomposites; Green Plastics,"This cluster of papers focuses on the development, synthesis, properties, and applications of biodegradable polymers such as polylactic acid (PLA) and polyhydro"
T10164,Quality and Supply Management,Management Information Systems,"Business, Management and Accounting",Social Sciences,131801,Supply Chain Management; Lean Manufacturing; Performance Measurement; Collaborative Relationships; Total Quality Management; Agile Supply Chains; Information Sharing; Supplier Development; Integration,"This cluster of papers focuses on developing evidence-informed knowledge in the field of supply chain management. It covers topics such as lean manufacturing, p"
T10008,Teacher Education and Leadership Studies,Education,Social Sciences,Social Sciences,131631,Teacher Professional Development; Qualitative Research Methods; Teacher Identity; Educational Leadership; Technology Integration; Teacher Efficacy; Professional Learning Communities; School Improvemen,"This cluster of papers focuses on teacher professional development, qualitative research methods, teacher identity formation, educational leadership, technology"
T13025,American History and Culture,Marketing,"Business, Management and Accounting",Social Sciences,131551,Branding; Marketing; History; Consumer Goods; Globalization; Trademark; Entrepreneurship; Advertising; Product Differentiation; Market Expansion,"This cluster of papers explores the historical development of branding and marketing strategies, including the evolution of consumer goods, globalization of mar"
T11761,Resilience and Mental Health,Clinical Psychology,Psychology,Social Sciences,131495,Psychological Resilience; Adversity; Coping Strategies; Positive Emotions; Developmental Perspectives; Family Resilience; Mental Health; Stress; Protective Factors; Community Resilience,"This cluster of papers focuses on the concept of psychological resilience, exploring its development, measurement, and implications for well-being. It encompass"
T13704,French Literature and Poetry,Literature and Literary Theory,Arts and Humanities,Social Sciences,131463,Baudelaire; French literature; 19th century; Salons; Cultural heritage; Refugees; Ethnic discrimination; Indigenous peoples; Soundscapes; Literary translation,"This cluster of papers covers a wide range of topics related to French literature and culture studies, with a focus on the 19th century. It includes discussions"
T14362,Diverse Legal and Medical Studies,Strategy and Management,"Business, Management and Accounting",Social Sciences,131449,Digital Markets Act; EU Competition Law; Market Power; Consumer Protection; Antitrust Regulation; Platform Economy; Unfair Trading Practices; Regulatory Framework; Bargaining Power; Corporate Governan,"This cluster of papers focuses on competition law, market power, and regulatory frameworks in the European Union. It explores topics such as the Digital Markets"
T10318,Criminal Justice and Corrections Analysis,Sociology and Political Science,Social Sciences,Social Sciences,131373,Mass Incarceration; Criminal Justice; Prison System; Incarceration Effects; Racial Disparities; Reentry Challenges; Public Health Impact; Social Inequality; Recidivism Factors; Judicial Bias,"This cluster of papers explores the multifaceted impact of mass incarceration on society and individuals, addressing topics such as racial disparities in senten"
T14322,"Art, Aesthetics, and Perception",Visual Arts and Performing Arts,Arts and Humanities,Social Sciences,131279,Visual Culture; Society; Photography; Art; Aesthetics; Media; Cultural Theory; Identity; Representation; Philosophy,"This cluster of papers explores the intersection of visual culture, society, and modernity, encompassing topics such as photography, art, aesthetics, media, cul"
T10205,Advanced Fiber Optic Sensors,Electrical and Electronic Engineering,Engineering,Physical Sciences,131243,Fiber Optic Sensors; Optical Fiber; Sensor Technology; Brillouin Scattering; Surface Plasmon Resonance; Structural Health Monitoring; Long-Period Gratings; Photonic Crystal Fiber; Refractive Index Sen,"This cluster of papers covers advances in fiber optic sensor technology, including topics such as Brillouin scattering, surface plasmon resonance, structural he"
T12904,Diverse Educational Innovations Studies,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,131224,Agricultural Education; School Gardens; Experiential Learning; Science Achievement; Career and Technical Education; Youth Leadership Development; Extension Education; STEM Integration; Teacher Prepara,"This cluster of papers focuses on agricultural education, school gardening, and experiential learning in the context of science achievement, career and technica"
T13067,Geological Modeling and Analysis,Geochemistry and Petrology,Earth and Planetary Sciences,Physical Sciences,131149,Geological Modeling; Uncertainty Analysis; 3D Visualization; Data Integration; Structural Interpretation; Geospatial Knowledge; Stochastic Modeling; Geological Mapping; Hydrogeological Assessment; GIS,"This cluster of papers focuses on geological modeling, uncertainty analysis, and visualization techniques in the field of geoscience. It explores methods for in"
T11794,Early Modern Spanish Literature,Literature and Literary Theory,Arts and Humanities,Social Sciences,131111,Golden Age Spain; Literature; Culture; Religious Identity; Visual Arts; Inquisition; Gender; History; Theater; Society,"This cluster of papers explores the cultural, literary, and religious dynamics of Golden Age Spain, focusing on topics such as literature, visual arts, religiou"
T10034,"Syntax, Semantics, Linguistic Variation",Language and Linguistics,Arts and Humanities,Social Sciences,131050,Syntax; Semantics; Pragmatics; Grammar; Language Evolution; Universal Grammar; Construction Grammar; Scalar Implicature; Morphology; Language Typology,"This cluster of papers encompasses a wide range of topics in theoretical linguistics, including syntax, semantics, pragmatics, language evolution, universal gra"
T10265,Multilingual Education and Policy,Linguistics and Language,Social Sciences,Social Sciences,131034,Translanguaging; Multilingualism; Language Policy; Bilingual Education; Cultural Sustaining Pedagogy; Language Ideologies; Heritage Language Maintenance; Sociolinguistics; Language Rights; Linguistic ,"This cluster of papers explores the concept of translanguaging pedagogy in multilingual education, focusing on the fluid and dynamic use of multiple languages i"
T10785,Economic Theory and Institutions,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,130853,Institutional Economics; Economic Institutions; Evolutionary Economics; Behavioral Economics; Market Evolution; Property Rights; Macroeconomics; Social Evolution; Neoliberalism; Darwinism in Economics,"This cluster of papers explores the study of economic institutions, behavior, and evolution, encompassing topics such as institutional economics, evolutionary e"
T10202,Lung Cancer Diagnosis and Treatment,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,130762,Lung Cancer; CT Screening; Radiotherapy; Chemotherapy; Tumor Staging; Adjuvant Therapy; Positron Emission Tomography; Stereotactic Body Radiation Therapy; Non-Small Cell Lung Cancer; Pulmonary Nodules,"This cluster of papers focuses on the diagnosis and treatment of lung cancer, including topics such as CT screening, radiotherapy, chemotherapy, tumor staging, "
T10417,Lung Cancer Treatments and Mutations,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,130656,EGFR Mutations; Targeted Therapy; ALK Inhibitors; Resistance Mechanisms; Clinical Trials; Genomic Profiling; Chemotherapy Regimens; Biomarker Analysis; Treatment Guidelines; Oncogene Addiction,"This cluster of papers focuses on the advancements in lung cancer research, particularly in understanding EGFR and ALK mutations, targeted therapy, resistance m"
T11211,3D Surveying and Cultural Heritage,Geology,Earth and Planetary Sciences,Physical Sciences,130244,Photogrammetry; UAV; Terrestrial Laser Scanning; Structure from Motion; Geospatial Applications; Digital Heritage; Point Clouds; 3D Reconstruction; Cultural Heritage; Remote Sensing,"This cluster of papers explores the advancements in 3D geospatial modelling techniques, including photogrammetry, UAV and terrestrial laser scanning, structure "
T10397,Nutrition and Health in Aging,Physiology,Medicine,Health Sciences,130145,Sarcopenia; Cancer Cachexia; Muscle Mass; Nutritional Status; Aging; Inflammation; Body Composition; Malnutrition; Physical Function; Prognosis,"This cluster of papers explores the definition, diagnosis, and implications of sarcopenia, focusing on its association with cancer cachexia, aging, inflammation"
T13224,Sports and Physical Education Research,"Physical Therapy, Sports Therapy and Rehabilitation",Health Professions,Health Sciences,130131,Motor Learning; Sport Performance; Physical Activity; Didactics; Motor Control; Cognitive Approach; Sport Psychology; Experiential Psychotherapy; Neurophysiological Aspects; Body Communication Skills,"This cluster of papers covers a wide range of topics related to physical education and sports science, including motor learning, sport performance, physical act"
T11959,Employment and Welfare Studies,General Health Professions,Health Professions,Health Sciences,129699,Precarious Employment; Unemployment; Mental Health; Economic Crisis; Job Insecurity; Health Outcomes; Temporary Employment; Austerity Measures; Social Determinants of Health; Labor Market,"This cluster of papers explores the impact of precarious employment, unemployment, and economic crises on mental and physical health. It investigates the associ"
T11732,Assisted Reproductive Technology and Twin Pregnancy,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,129637,Assisted Reproductive Technology; In Vitro Fertilization; Twin Pregnancy; Birth Defects; Perinatal Outcome; Monozygotic Twins; Imprinting Disorders; Fetoscopic Laser Coagulation; Selective Embryo Tran,"This cluster of papers explores the impact of assisted reproductive technology, particularly in vitro fertilization, on perinatal outcomes, including the risk o"
T11851,Electromagnetic Compatibility and Measurements,Electrical and Electronic Engineering,Engineering,Physical Sciences,129601,Reverberation Chambers; Antenna Measurement; Near-Field Scanning; MIMO Systems; Electromagnetic Shielding; Source Reconstruction; Mode-Stirred Chambers; EMI Testing; Far-Field Transformation; Wireless,"This cluster of papers focuses on the use of reverberation chambers in electromagnetic testing, particularly for antenna measurements, near-field scanning, MIMO"
T12142,Marine Invertebrate Physiology and Ecology,Paleontology,Earth and Planetary Sciences,Physical Sciences,129570,Cnidarian Evolution; Jellyfish Blooms; Genomic Organization; Neural Systems; Wnt Signaling; Stem Cells; Toxins; Metazoan Evolution; Placozoans; Hydra,"This cluster of papers explores the evolution and diversity of cnidarians, with a focus on jellyfish blooms, genomic organization, neural systems, Wnt signaling"
T10116,Sperm and Testicular Function,Reproductive Medicine,Medicine,Health Sciences,129361,Sperm DNA Fragmentation; Oxidative Stress; Spermatogonial Stem Cells; Testicular Function; Reproductive Hormones; Sperm Quality; Germ Cell Development; Androgen Receptor; Semen Analysis; Fertility Tre,"This cluster of papers focuses on male infertility, reproductive health, and the underlying factors affecting sperm quality and testicular function. It covers t"
